ts_code,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,end_date,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,ann_date,UPDATE_DATE,CURRENCY,revenue,OPERATE_INCOME_YOY,interest_ni,INTEREST_NI_YOY,interest_income,INTEREST_INCOME_YOY,interest_expense,INTEREST_EXPENSE_YOY,FEE_COMMISSION_NI,FEE_COMMISSION_NI_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_INCOME_OTHER,OPERATE_INCOME_OTHER_YOY,OPERATE_INCOME_BALANCE,OPERATE_INCOME_BALANCE_YOY,OPERATE_EXPENSE,OPERATE_EXPENSE_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,BUSINESS_MANAGE_EXPENSE,BUSINESS_MANAGE_EXPENSE_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_EXPENSE_OTHER,OPERATE_EXPENSE_OTHER_YOY,OPERATE_EXPENSE_BALANCE,OPERATE_EXPENSE_BALANCE_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,operate_profit,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,total_profit,TOTAL_PROFIT_YOY,income_tax,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,n_income,NETPROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,n_income_attr_p,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,TCI_BALANCE,TCI_BALANCE_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE,OSOPINION_TYPE
601288.SH,601288,农业银行,10008271,银行,2025-09-30,三季报,2025三季报,058001001,2025-10-31,2025-10-31 00:00:00,CNY,550876000000,1.9740398214,427308000000,-2.3956363238,901051000000,-6.3854788304,473743000000,-9.7143978838,69877000000,13.3391724652,79828000000,10.8183521899,9951000000,-4.1514159122,34233000000,35.4367779712,607000000.0,1497.3684210526,8539000000.0,109.3405246384,2994000000.0,-42.7861647239,7925000000,28.3400809717,,,,,,,0.0,,300804000000,0.7472209476,5561000000,1.3301749271,160511000000,2.6587103624,,,127403000000.0,-2.7799398684,7312000000.0,30.9221128021,,,,,,,,,250072000000,3.4899167767,353000000,2.6162790698,,,1133000000,77.8649921507,,,,,0.0,,249292000000,3.2923686326,26969000000,3.3928845269,,,,,222323000000,3.2801887932,,,,,220859000000,3.0260481779,1464000000.0,64.4943820225,220833000000.0,3.2721337848,,,,,0.59,5.3571428571,0.59,5.3571428571,-15791000000.0,-194.2296216732,-14571000000.0,-177.9197860963,-1220000000.0,37.1781668383,,,,,3143000000.0,1108.8461538462,,,,,-1000000.0,-101.9607843137,,,-17714000000.0,-196.0629067245,,,,,,,,,-174000000.0,64.6341463415,342000000.0,110.4459376909,,,,,,,206532000000.0,-10.9852598914,206288000000.0,-11.4917278781,244000000.0,123.1939163498,,,,,3144000000.0,1404.3062200957,,,-20119000000.0,-199.0986109743,,,2237000000.0,17.4894957983,20181000000.0,318.6060983199,,
601288.SH,601288,农业银行,10008271,银行,2025-06-30,中报,2025中报,058001001,2025-08-30,2025-08-30 00:00:00,CNY,369937000000,0.8456117873,282473000000,-2.8795109473,598005000000,-7.1490013167,315532000000,-10.6647791619,51441000000,10.0671858952,58097000000,8.2223422685,6656000000,-4.1888585001,23153000000,52.5431545658,441000000.0,975.6097560976,4992000000.0,-5.5975794251,2306000000.0,-49.5956284153,5572000000,32.351543943,,,,,,,0.0,,209001000000,-0.0674183091,3859000000,0.4163413999,102874000000,2.2167463212,,,97955000000.0,-3.0129309491,4299000000.0,18.5931034483,,,,,,,,,160936000000,2.0565275567,186000000,-26.1904761905,,,582000000,22.7848101266,,,,,0.0,,160540000000,1.9489302792,20597000000,-1.8115078419,,,,,139943000000,2.5268509971,,,,,139510000000,2.6624083831,433000000.0,-28.073089701,139385000000.0,2.8770287924,,,,,0.37,0.0,0.37,0.0,159000000.0,-98.4934621944,916000000.0,-92.423490488,-757000000.0,50.7161458333,,,,,3320000000.0,2323.3576642336,,,,,13000000.0,-53.5714285714,,,-2404000000.0,-120.1121057475,,,,,,,,,113000000.0,-16.9117647059,-1116000000.0,58.0293343362,,,,,,,140102000000.0,-4.723627659,140426000000.0,-5.1060264086,-324000000.0,65.3104925054,,,,,3307000000.0,2933.9449541284,,,-5585000000.0,-129.3669155537,,,4184000000.0,192.1180096874,15088000000.0,250.8837209302,,
601288.SH,601288,农业银行,10008271,银行,2025-03-31,一季报,2025一季报,058001001,2025-04-30,2025-04-30 00:00:00,CNY,186674000000,0.3510356358,140577000000,-2.7384370568,297478000000,-8.1410070343,156901000000,-12.4958869425,28009000000,-3.5403106382,31430000000,-3.3071835102,3421000000,-1.3552479815,7173000000,95.769650655,72000000.0,1540.0,3911000000.0,-7.1241985277,4384000000.0,64.0718562874,2620000000,37.7497371188,,,,,,,0.0,,108676000000,2.1640626469,1733000000,-4.3598233996,47750000000,1.1566816371,,,57060000000.0,2.6055996116,2120000000.0,22.5433526012,,,,,,,,,77998000000,-2.0703855764,76000000,-10.5882352941,,,431000000,47.0989761092,,,,,0.0,,77643000000,-2.2608542404,5527000000,-35.7325581395,,,,,72116000000,1.8026793151,,,,,71931000000,2.1950387861,185000000.0,-59.1611479029,71991000000.0,2.3369866519,,,,,0.19,0.0,0.19,0.0,-21611000000.0,-350.1353884607,-20705000000.0,-409.9753694581,-906000000.0,-22.2672064777,,,,,119000000.0,-1.652892562,,,,,,,,,-20824000000.0,-398.0626644343,,,,,,,,,166000000.0,184.2639593909,-126000000.0,91.0064239829,,,,,,,50505000000.0,-23.5213059148,51226000000.0,-22.7663359768,-721000000.0,-150.3472222222,,,,,119000000.0,0.8474576271,,,-16507000000.0,-261.3587487781,,,-4357000000.0,65.9954733474,6308000000.0,1420.0,,
601288.SH,601288,农业银行,10008271,银行,2024-12-31,年报,2024年报,058001001,2025-03-29,2025-03-29 00:00:00,CNY,710555000000,2.263437858,580692000000,1.5639702667,1275680000000,4.2479435286,694988000000,6.6017535141,75567000000,-5.650930793,89965000000,-5.0100306198,14398000000,-1.498255456,31139000000,12.2166564561,72000000.0,-61.9047619048,7992000000.0,160.325732899,7222000000.0,49.554773245,7943000000,8.2595066103,,,,,,,0.0,,390774000000,1.2276088956,7548000000,3.9669421488,244420000000,3.8776689786,,,130840000000.0,-3.5864030595,7699000000.0,2.0275642725,,,,,,,,,319781000000,3.558370818,674000000,17.6265270506,,,1254000000,-35.593220339,,,,,0.0,,319201000000,3.8325542663,36530000000,-2.8431607224,,,,,282671000000,4.7628048329,,,,,282083000000,4.7249736408,588000000.0,26.724137931,281561000000.0,4.5583506012,,,,,0.75,4.1666666667,0.75,4.1666666667,38713000000.0,834.8708041536,40315000000.0,688.6345852895,-1602000000.0,-64.9845520082,,,,,532000000.0,19.5505617978,,,,,50000000.0,,,,39783000000.0,752.4319691451,,,,,,,,,469000000.0,-38.772845953,-4806000000.0,-240.6094968108,,,,,,,321384000000.0,17.3101280839,322398000000.0,17.4628736319,-1014000000.0,-100.0,,,,,482000000.0,8.3146067416,,,39536000000.0,239.5105195363,,,4584000000.0,172.3827569872,7167000000.0,590.4624277457,标准无保留意见,
601288.SH,601288,农业银行,10008271,银行,2024-09-30,三季报,2024三季报,058001001,2024-10-31,2025-10-31 00:00:00,CNY,540212000000,1.2850655657,437796000000,0.9611925429,962512000000,5.7021334543,524716000000,10.0123490181,61653000000,-7.6456401576,72035000000,-6.6154165262,10382000000,0.0096329833,25276000000,25.1163251163,38000000.0,-79.8941798942,4079000000.0,8.8313767343,5233000000.0,46.5005599104,6175000000,13.2819666116,,,,,,,0.0,,298573000000,1.0375388739,5488000000,5.7825751735,156354000000,0.6041887849,,,131046000000.0,1.1344693462,5585000000.0,5.7364634608,,,,,,,,,241639000000,1.5925936826,344000000,5.1987767584,,,637000000,-17.0572916667,,,,,0.0,,241346000000,1.6578914115,26084000000,-11.9408527734,,,,,215262000000,3.59643677,,,,,214372000000,3.3835529235,890000000.0,105.5427251732,213836000000.0,3.4218251991,,,,,0.56,1.8181818182,0.56,1.8181818182,16758000000.0,289.6130346232,18700000000.0,333.1961591221,-1942000000.0,-137.1184371184,,,,,260000000.0,-33.6734693878,,,,,51000000.0,,,,18440000000.0,319.2367138271,,,,,,,,,-492000000.0,-142.1593830334,-3274000000.0,-168.1408681409,,,,,,,232020000000.0,16.6216807154,233072000000.0,16.9236017398,-1052000000.0,-172.5388601036,,,,,209000000.0,-46.6836734694,,,20302000000.0,521.2362301102,,,1904000000.0,116.3784946237,4821000000.0,725.5136986301,,
601288.SH,601288,农业银行,10008271,银行,2024-06-30,中报,2024中报,058001001,2024-08-31,2025-08-30 00:00:00,CNY,366835000000,0.2944569907,290848000000,0.1470279353,644048000000,7.1482878348,353200000000,13.6934268976,46736000000,-7.8748694092,53683000000,-6.8343138786,6947000000,0.8272859216,15178000000,26.7262252651,41000000.0,-82.4034334764,5288000000.0,-28.1131049483,4575000000.0,177.2727272727,4210000000,16.2020425062,,,,,,,0.0,,209142000000,-0.1356087592,3843000000,8.3450803496,100643000000,0.5434619726,,,100998000000.0,-1.3228857277,3625000000.0,6.6176470588,,,,,,,,,157693000000,0.870583118,252000000,43.1818181818,,,474000000,-12.0593692022,,,,,0.0,,157471000000,0.9630118806,20977000000,-5.2443761857,,,,,136494000000,1.9898229857,,,,,135892000000,1.9949862648,602000000.0,0.837520938,135487000000.0,1.9841777631,,,,,0.37,0.0,0.37,0.0,10554000000.0,292.2754600109,12090000000.0,345.2830188679,-1536000000.0,-174.2857142857,,,,,137000000.0,-65.8354114713,,,,,28000000.0,,,,11953000000.0,324.2589118199,,,,,,,,,136000000.0,-91.8269230769,-2659000000.0,-184.385026738,,,,,,,147048000000.0,14.5751196023,147982000000.0,15.3361131678,-934000000.0,-2624.3243243243,,,,,109000000.0,-72.8179551122,,,19018000000.0,148.5363303711,,,-4542000000.0,66.873313398,4300000000.0,1729.7872340426,,
601288.SH,601288,农业银行,10008271,银行,2024-03-31,一季报,2024一季报,058001001,2024-04-30,2025-04-30 00:00:00,CNY,186021000000,-1.7633079848,144535000000,-0.7362283407,323842000000,9.6553989307,179307000000,19.7615549025,29037000000,-10.789886018,32505000000,-9.5324241581,3468000000,2.5732031943,3664000000,-20.4688517473,-5000000.0,-104.5045045045,4211000000.0,52.0216606498,2672000000.0,21.2341197822,1902000000,17.1903881701,,,,,,,0.0,,106374000000,0.2129102762,1812000000,11.6451016636,47204000000,1.6692153611,,,55611000000.0,-1.5960929344,1730000000.0,10.3316326531,,,,,,,,,79647000000,-4.2842378503,85000000,13.3333333333,,,293000000,12.6923076923,,,,,0.0,,79439000000,-4.3214857817,8600000000,-21.1876832845,,,,,70839000000,-1.7693961034,,,,,70386000000,-1.6323336222,453000000.0,-19.2513368984,70347000000.0,-1.5547594391,,,,,0.19,-5.0,0.19,-5.0,-4801000000.0,60.0316350316,-4060000000.0,65.8794856711,-741000000.0,-555.7522123894,,,,,121000000.0,-62.8834355828,,,,,3000000.0,,,,-4181000000.0,65.799591002,,,,,,,,,-197000000.0,78.7486515642,-1401000000.0,-665.5737704918,,,,,,,66038000000.0,9.8747150725,66326000000.0,11.1826334758,-288000000.0,-164.2857142857,,,,,118000000.0,-63.8036809816,,,10230000000.0,806.9799585349,,,-12813000000.0,-32.5299958626,415000000.0,178.5234899329,,
601288.SH,601288,农业银行,10008271,银行,2023-12-31,年报,2023年报,058001001,2024-03-29,2025-03-29 00:00:00,CNY,694828000000,0.0253364274,571750000000,-3.0739994202,1223698000000,10.3958270183,651948000000,25.717679591,80093000000,-1.4628084939,94710000000,-0.8459138592,14617000000,2.6763135712,27749000000,62.6839420766,189000000.0,186.3636363636,3070000000.0,-45.634850363,4829000000.0,188.8173625161,7337000000,17.9581993569,,,,,,,0.0,,386035000000,-0.163448135,7260000000,11.2643678161,235296000000,3.2271650434,,,135707000000.0,-6.5803422687,7546000000.0,9.7280791043,,,,,,,,,308793000000,0.2623504391,573000000,20.6315789474,,,1947000000,-2.9895366218,,,,,0.0,,307419000000,0.3152196258,37599000000,-20.9889255469,,,,,269820000000,4.2315329166,,,,,269356000000,3.9053820516,464000000.0,226.7759562842,269286000000.0,3.7095519422,,,,,0.72,4.347826087,0.72,4.347826087,4141000000.0,22.8418866805,5112000000.0,29.9771167048,-971000000.0,-72.7758007117,,,,,445000000.0,368.4210526316,,,,,,,,,4667000000.0,21.5997915581,,,,,,,,,766000000.0,-80.1400051854,-1411000000.0,-301.9943019943,,,,,,,273961000000.0,4.470764995,274468000000.0,4.2950240344,-507000000.0,45.3663793103,,,,,445000000.0,368.4210526316,,,11645000000.0,196.2476237706,,,-6333000000.0,-150.9452176012,1038000000.0,548.75,标准无保留意见,
601288.SH,601288,农业银行,10008271,银行,2023-09-30,三季报,2023三季报,058001001,2023-10-28,2024-10-31 00:00:00,CNY,533358000000,-0.5350346029,433628000000,-3.2052269374,910589000000,10.3111791664,476961000000,26.3519706691,66757000000,-0.887833123,77138000000,-0.7718233039,10381000000,-0.0192622556,20202000000,168.0376807748,189000000.0,71.8181818182,3748000000.0,-75.864511559,3572000000.0,157.2435897436,5451000000,34.2941611234,,,,,,,0.0,,295507000000,-1.7955534878,5188000000,10.265674814,155415000000,5.2704661528,,,129576000000.0,-9.7490475229,5282000000.0,5.915379988,,,,,,,,,237851000000,1.0768452768,327000000,-57.421875,,,768000000,-28.4249767008,,,,,0.0,,237410000000,1.0203734277,29621000000,-21.0674980681,,,,,207789000000,5.2176114642,,,,,207356000000,4.9701829521,433000000.0,916.9811320755,206761000000.0,4.5683969898,,,,,0.55,3.7735849057,0.55,3.7735849057,-8838000000.0,-154.5892526251,-8019000000.0,-147.7634165227,-819000000.0,-36.7278797997,,,,,392000000.0,13166.6666666667,,,,,,,,,-8411000000.0,-150.0893282515,,,,,,,,,1167000000.0,-73.0111008326,-1221000000.0,-114.9647887324,,,,,,,198951000000.0,-6.8908388908,199337000000.0,-6.9939858254,-386000000.0,40.7975460123,,,,,392000000.0,13166.6666666667,,,3268000000.0,143.4112646121,,,-11625000000.0,-156.5308305777,584000000.0,279.2207792208,,
601288.SH,601288,农业银行,10008271,银行,2023-06-30,中报,2023中报,058001001,2023-08-30,2024-08-31 00:00:00,CNY,365758000000,0.8342247169,290421000000,-3.2500824514,601081000000,10.7511824458,310660000000,28.078695878,50731000000,2.5096486088,57621000000,2.4792359543,6890000000,2.2558622737,11977000000,49.5816160859,233000000.0,79.2307692308,7356000000.0,54.830561987,1650000000.0,170.3324808184,3623000000,36.5109269028,,,,,,,0.0,,209426000000,1.3830729684,3547000000,4.3542218299,100099000000,6.0247216956,,,102352000000.0,-3.0105468639,3400000000.0,5.8201058201,,,,,,,,,156332000000,0.108220257,176000000,-65.8252427184,,,539000000,-14.3084260731,,,,,0.0,,155969000000,-0.0512659485,22138000000,-18.8073058021,,,,,133831000000,3.9197720196,,,,,133234000000,3.481110973,597000000.0,1825.8064516129,132851000000.0,3.1547970308,,,,,0.37,5.7142857143,0.37,5.7142857143,-5489000000.0,-292.3265592151,-4929000000.0,-261.3420621931,-560000000.0,-178.6069651741,,,,,401000000.0,1079.4117647059,,,,,,,,,-5330000000.0,-276.4316451506,,,,,,,,,1664000000.0,-17.4603174603,-935000000.0,-470.1219512195,,,,,,,128342000000.0,-2.5030956342,128305000000.0,-2.6569150349,37000000.0,121.7647058824,,,,,401000000.0,1079.4117647059,,,7652000000.0,185.5736971595,,,-13711000000.0,-235.6047868658,235000000.0,132.6732673267,,
601288.SH,601288,农业银行,10008271,银行,2023-03-31,一季报,2023一季报,058001001,2023-04-29,2024-04-30 00:00:00,CNY,189360000000,2.1882841801,145607000000,-3.5376655382,295327000000,10.4678651316,149720000000,28.6309549379,32549000000,2.778742619,35930000000,2.2219693306,3381000000,-2.8448275862,4607000000,192.6937738247,111000000.0,-67.638483965,2770000000.0,267.8787878788,2204000000.0,42.2853453841,1623000000,33.4703947368,,,,,,,0.0,,106148000000,6.0408986923,1623000000,3.7723785166,46429000000,4.796406645,,,56513000000.0,6.8662304754,1568000000.0,16.1481481481,,,,,,,,,83212000000,-2.3379184076,75000000,-66.3677130045,,,260000000,-9.4076655052,,,,,0.0,,83027000000,-2.4817946911,10912000000,-27.2921108742,,,,,72115000000,2.8275252381,,,,,71554000000,1.7533880349,561000000.0,396.8253968254,71458000000.0,1.5417844912,,,,,0.2,0.0,0.2,0.0,-12012000000.0,-102.5974025974,-11899000000.0,-104.6259673259,-113000000.0,0.8771929825,,,,,326000000.0,111.6883116883,,,,,,,,,-12225000000.0,-104.8081755738,,,,,,,,,-927000000.0,-102.4017467249,-183000000.0,-251.9230769231,,,,,,,60103000000.0,-6.3859944239,59655000000.0,-7.5202306762,448000000.0,247.8547854785,,,,,326000000.0,111.6883116883,,,-1447000000.0,75.256497948,,,-9668000000.0,-2585.3470437018,149000000.0,192.1568627451,,
601288.SH,601288,农业银行,10008271,银行,2022-12-31,年报,2022年报,058001001,2023-03-31,2024-03-29 00:00:00,CNY,694652000000,-3.5091642763,589883000000,2.0581777791,1108464000000,9.9651393731,518581000000,20.5926604609,81282000000,1.1863710491,95518000000,-3.2444971181,14236000000,-22.5967812092,17057000000,-36.9287087709,66000000.0,-83.8630806846,5647000000.0,240.5075889525,-5437000000.0,-178.8656803017,6220000000,-80.3661616162,,,,,,,0.0,,386667000000,-8.8271009637,6525000000,-1.2261580381,227940000000,3.936016926,,,145266000000.0,-12.4302231653,6877000000.0,-78.6355587312,,,,,,,,,307985000000,4.1151136533,475000000,-75.8146639511,,,2007000000,5.8544303797,,,,,0.0,,306453000000,3.5734081384,47587000000,-11.7844431262,,,,,258866000000,6.9977184049,,,,,259232000000,7.4835291045,-366000000.0,-148.6055776892,259654000000.0,7.6741254333,,,,,0.69,6.1538461538,0.69,6.1538461538,3371000000.0,-53.9480874317,3933000000.0,-45.4961197339,-562000000.0,-640.3846153846,,,,,95000000.0,156.8862275449,,,,,,,,,3838000000.0,-48.0157117703,,,,,,,,,3857000000.0,323.7238979118,-351000000.0,,,,,,,,262237000000.0,5.2078987066,263165000000.0,5.9444683755,-928000000.0,-208.284714119,,,,,95000000.0,156.8862275449,,,-12099000000.0,-288.9878163074,,,12431000000.0,359.5563770795,160000000.0,1354.5454545455,标准无保留意见,
601288.SH,601288,农业银行,10008271,银行,2022-09-30,三季报,2022三季报,058001001,2022-10-29,2023-10-28 00:00:00,CNY,536227000000,-1.5911263964,447987000000,4.2516353786,825473000000,10.2770040545,377486000000,18.3980077032,67355000000,2.8697538029,77738000000,-1.8818866829,10383000000,-24.5037446375,7537000000,-64.0821578345,110000000.0,-66.4634146341,15529000000.0,439.2833733887,-6240000000.0,-237.3844121532,4059000000,-85.8841940532,,,,,,,0.0,,300910000000,-4.153832923,4705000000,0.8142275552,147634000000,5.937141217,,,143573000000.0,1.3819059993,4987000000.0,-82.3749779113,,,,,,,,,235317000000,1.8926502299,768000000,-33.9638865004,,,1073000000,31.9803198032,,,,,0.0,,235012000000,1.6065993359,37527000000,-14.5676820107,,,,,197485000000,5.398409564,,,,,197538000000,5.7999346577,-53000000.0,-108.0181543116,197728000000.0,6.0903437656,,,,,0.53,6.0,0.53,6.0,16190000000.0,195.0610533989,16789000000.0,211.88928107,-599000000.0,-675.9615384615,,,,,-3000000.0,-102.9702970297,,,,,,,,,16792000000.0,217.9098826202,,,,,,,,,4324000000.0,653.6491677337,-568000000.0,-109.3682995217,,,,,,,213675000000.0,10.7945265145,214327000000.0,11.5751827249,-652000000.0,-185.2287581699,,,,,-3000000.0,-102.9702970297,,,-7528000000.0,-210.4298078334,,,20564000000.0,2827.3209549072,154000000.0,1825.0,,
